Filename,Text,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,embedding
ChinaTaiwanUpdate040524.txt,"trip, however. DPP Caucus Whip Rosalia Wu expressed disapproval of Ma’s gracious attitude despite the CCP’s failure to acknowledge Ma as the former president. Wu warned Ma to be cautious with his words and actions during his trip.[9] Premier Chen Chien-jen called on Ma to assert that “Taiwan is a sovereign and independent country” in front of Xi Jinping if the two of them meet.[10]",,,,,"[ 0.0307491  -0.01652192 -0.03974641 ... -0.01999277 -0.01449648
  0.01344815]"
ChinaTaiwanUpdate040524.txt,Taiwan,,,,,"[ 0.06563178  0.02289498 -0.02508751 ... -0.01503416 -0.02957885
  0.00046122]"
ChinaTaiwanUpdate040524.txt,"The DPP proposed legislative reforms on April 3 in response to KMT-TPP reform plans that threaten to undermine the DPP's governance.[11] The KMT proposed a series of legislative reforms to increase the Legislative Yuan’s (LY) oversight of the government on March 6. The reforms call for the establishment of inquiry committees and hearing procedures to compel individuals— including the president— to testify before the LY, assert penalties for perceived non-compliance or dishonesty in responses,",,,,,"[ 0.03452642  0.0103695  -0.04839531 ... -0.03071327 -0.02729691
  0.00021426]"
ChinaTaiwanUpdate040524.txt,"in responses, and empower the LY to confirm political appointments.[12] The Taiwan People’s Party (TPP) released a similar draft on February 16.[13] The DPP’s recommended reforms do not include core elements of the opposition’s proposals, including the creation of special inquiry committees and the ability to hold testifiers in contempt.",,,,,"[ 0.02409863  0.00898956 -0.05781502 ... -0.04239056 -0.01558073
 -0.00806251]"
ChinaTaiwanUpdate040524.txt,"The TPP and KMT have consistently stated that establishing a legislative investigative task force to intensify supervision of the executive branch is at the top of their agenda.[14] TPP Caucus Whip Huang Kuo-chang stated the TPP and KMT align in their reform direction, and the TPP’s support for the KMT in the LY will be aimed at achieving reform.[15]",,,,,"[ 0.0317602   0.0125324  -0.05780909 ... -0.03403559 -0.00549129
  0.02129124]"
ChinaTaiwanUpdate040524.txt,The KMT has largely dismissed the DPP’s proposal as an attempt to water down necessary reforms and pledged to continue pursuing the reforms that it proposed. KMT legislator Luo Chih-chiang stated that the KMT would persist in defending the LY’s dignity and legislative reform.[16] KMT Caucus Secretary-General Hung Mong-kai claimed the DPP’s version would not achieve the goal of strengthening legislative oversight to increase the representation of public opinion in the LY.[17] KMT Caucus Whip Fu,,,,,"[ 0.01428347  0.00496839 -0.04118863 ... -0.03165167 -0.00042916
  0.01024986]"
ChinaTaiwanUpdate040524.txt,"Caucus Whip Fu Kun-chi, a leader of the reforms, has consistently urged for the need to impose checks and balances on the government to limit its power and expose corruption.[18]",,,,,"[ 0.0344282   0.01167507 -0.02054015 ... -0.00634814 -0.01296742
  0.01650785]"
ChinaTaiwanUpdate040524.txt,"DPP Caucus Whip Ker Chien-ming emphasized the constitutionality of the DPP’s proposed reforms and stated that they would never sow chaos in politics, unlike the reforms that the opposition parties put forth.[19] The DPP has consistently criticized the opposition’s dogged determination to pursue the legislative reforms. Ker stated that “the evil forces of Blue and White,” referring to the KMT and TPP, are taking advantage of their collective majority in the LY to expand their power and wage a",,,,,"[ 0.01432602 -0.00126796 -0.05157766 ... -0.02340146 -0.01234039
 -0.0059631 ]"
ChinaTaiwanUpdate040524.txt,power and wage a new “White Terror” against the executive branch.[20] DPP General Secretary Rosalia Wu emphasized the unconstitutionality of the opposition’s proposals and stressed that the LY cannot directly interfere with the executive branch by subjecting the president to legislative oversight.[21],,,,,"[ 0.03622868 -0.01298615 -0.03186682 ... -0.02032311 -0.0343035
 -0.00173971]"
ChinaTaiwanUpdate040524.txt,The opposition’s plan to impose checks and balances on the DPP could significantly hamper the government’s ability to pass policy by miring it in defensive actions against accusations of overstepping authority or corruption. KMT Caucus Deputy Secretary-General Lin Tzu-ming earlier referred to the proposed reforms as a “great weapon” that the LY must use to supervise the government.[22] The KMT’s outspoken rejection of the DPP’s reform proposal indicates the two largest parties will not,,,,,"[ 0.03448105  0.02628654 -0.04250489 ... -0.02676664 -0.02942698
 -0.0029638 ]"
ChinaTaiwanUpdate040524.txt,"parties will not compromise on the DPP’s revised version. Collaboration between the KMT and the TPP to advance their reforms suggests their version will pass with a majority in the LY, as the TPP’s eight seats constitute a crucial swing vote. The opposition’s determination to derail the DPP government is favorable to Chinese Communist Party (CCP) interests, especially if it hinders the government’s ability to implement its foreign and defense policy.",,,,,"[ 0.05018848 -0.00811971 -0.03490409 ... -0.01602749 -0.03545832
 -0.00546203]"
ChinaTaiwanUpdate040524.txt,"The LY’s Judiciary and Organic Laws and Statutes Committee will review the DPP’s proposal under the KMT’s rotating chairmanship of the committee next week.[23]
China",,,,,"[ 0.0225396  -0.00428755 -0.03011586 ... -0.04270517  0.00760944
  0.00827126]"
ChinaTaiwanUpdate040524.txt,"CCP General Secretary Xi Jinping emphasized cross-strait relations and economic issues in the US-PRC relationship during a phone call with US President Joe Biden on April 2. The PRC readout of the call did not address the US security concerns, including the PRC's support for Russia and heightened tensions in the South China Sea. Xi and Biden spoke by phone on April 2, in their first direct conversation since their meeting in San Francisco on November 15, 2023. According to the PRC readout of",,,,,"[ 0.03552516 -0.00489889 -0.05326139 ...  0.0076457  -0.03336189
  0.00458467]"
ChinaTaiwanUpdate040524.txt,"the PRC readout of the call, Xi warned that the PRC considers the “Taiwan question” a “red line” and will act to counter Taiwanese “separatists” and external support for them. He also objected to US sanctions measures on PRC companies which he claimed are “suppress[ing] China’s trade and technology development,” saying the PRC welcomes mutually beneficial trade with the United States but will not “sit back and watch” if the United States seeks to “deprive China of its legitimate right to",,,,,"[ 0.03424673 -0.02082091 -0.0505857  ... -0.01623055 -0.02818871
  0.01525081]"
ChinaTaiwanUpdate040524.txt,"legitimate right to development.” Xi also said the three underlying principles of US-PRC relations in 2024 should be to value peace, to prioritize stability, and to uphold the credibility of commitments to each other.[24]",,,,,"[ 0.01426604 -0.00466424 -0.04117312 ... -0.01067446 -0.01211389
  0.00449771]"
ChinaTaiwanUpdate040524.txt,"The PRC readout did not elaborate on many other issues the two discussed according to the White House readout, including freedom of navigation in the South China Sea, PRC support for Russia’s defense industrial base, and denuclearization of the Korean Peninsula.[25] The Xi-Biden call followed a call between US Deputy Secretary of State Kurt Campbell and PRC Vice Foreign Minister Ma Zhaoxu on March 27, which discussed similar issues.[26] The focus of the PRC readout shows the CCP is trying to",,,,,"[ 0.04278877 -0.0310923  -0.05170183 ... -0.01673926 -0.02935622
  0.00789993]"
ChinaTaiwanUpdate040524.txt,CCP is trying to portray trade issues and US support for Taiwan as the core disputes in an otherwise stable US-PRC relationship while downplaying US concerns about the PRC’s threats to regional and US national security.,,,,,"[ 0.04228384 -0.00517332 -0.05025425 ... -0.00709329 -0.00326927
 -0.00411192]"
ChinaTaiwanUpdate040524.txt,"The PRC used a series of high-profile meetings with US political, business, and academic leaders to boost foreign investment. The PRC invited top US business, academic, and strategic leaders to the PRC for the China Development Forum on March 25-26 and a meeting with Xi Jinping on March 27. Nearly all top PRC officials for economic affairs, including Premier Li Qiang, Vice Premiers Ding Xuexiang and He Lifeng, Vice President Han Zheng, and Xi Jinping’s Chief of Staff Cai Qi held high-level",,,,,"[ 0.0251402  -0.02741903 -0.04656885 ... -0.02396272 -0.02355565
  0.0410991 ]"
ChinaTaiwanUpdate040524.txt,"Qi held high-level meetings with foreign business executives including Blackstone CEO Stephen Schwarzman, Qualcomm CEO Cristiano Amon, and US-China Business Council president Craig Allen.[27] Academics, such as former Harvard Kennedy School dean Graham Allison, also attended meetings with Xi and other top officials, as did National Committee on US-China Relations (NCUSCR) Chairman Evan Greenberg.[28] The meetings and PRC state media reporting about them sought to boost foreign investor",,,,,"[ 0.03645938 -0.04290697 -0.05531764 ... -0.00831586 -0.02651031
  0.0253564 ]"
ChinaTaiwanUpdate040524.txt,foreign investor confidence in the PRC economy and signal “win-win opportunities” for investors.,,,,,"[ 0.01075929 -0.01314127 -0.05901336 ... -0.00963444 -0.03018424
 -0.0280758 ]"
ChinaTaiwanUpdate040524.txt,"Xi used the occasion to reiterate that US-China ""incorrect perceptions"" from the US side are a key cause of tensions in the US-China relationship.[29] PRC state media Xinhua ran a series of commentary articles promoting the development of healthy US-PRC relations.[30] Global Times published an interview with Allison in which he said the United States and PRC were “inseparable, conjoined Siamese twins” and praised PRC leaders for seeking to escape the “Thucydides Trap,” a term Allison coined to",,,,,"[ 0.01964225 -0.02100096 -0.02591656 ... -0.01078184 -0.01216108
  0.02643597]"
ChinaTaiwanUpdate040524.txt,"Allison coined to describe the historical tendency of rising powers and established great powers to go to war.[31] CCP meetings with US business leaders, academics, and PRC-friendly groups like NCUSCR and the US-China Business Council may offer avenues for the CCP to influence US policy and lend credence to CCP narratives, such as the narrative that problems in US-PRC relations are caused by “incorrect perceptions” in the United States and the promotion of investment opportunities in the PRC.",,,,,"[ 0.02292048 -0.01950459 -0.06595036 ... -0.01854772 -0.00585693
 -0.00768889]"
ChinaTaiwanUpdate040524.txt,"The PRC also promoted stabilizing relations and boosting investment in meetings with European officials, including Premier Li Qiang and Foreign Minister Wang Yi’s meetings with French Foreign Minister Stéphane Séjourné on April 1.[32]",,,,,"[ 0.03019433 -0.01177747 -0.02178133 ... -0.01295503  0.00219317
  0.02365275]"
ChinaTaiwanUpdate040524.txt,"PRC officials expressed opposition to the expansion of the AUKUS security partnership. New Zealand Foreign Minister Winston Peters said New Zealand expects the PRC to respect its right to explore joining AUKUS, a trilateral security partnership between Australia, the United Kingdom, and the United States. MFA spokesperson Lin Jian responded by expressing the PRC’s “strong concerns” about AUKUS and noting that the PRC opposes “camp confrontation” and forming “exclusive small circles.”[33] PRC",,,,,"[ 0.02637338  0.00399289 -0.05096561 ... -0.01675897 -0.02179296
 -0.00992103]"
ChinaTaiwanUpdate040524.txt,circles.”[33] PRC Ministry of Defense (MOD) spokesperson Wu Qian criticized the expansion and upgrading of AUKUS as a “dangerous step in a more dangerous direction.” Wu was referring to an AU$4.6 billion agreement for the UK to build nuclear submarines for Australia and US plans to discuss Japan’s technical cooperation with AUKUS when Japan Prime Minister Fumio Kishida meets with US President Joe Biden in April.[34] CCP opposition to AUKUS is consistent with the CCP view that all US alliance,,,,,"[ 0.02260244 -0.01345197 -0.03558084 ...  0.01329756 -0.01932555
  0.02545491]"
ChinaTaiwanUpdate040524.txt,all US alliance structures are in alignment against the PRC. The MOD also expressed concerns about NATO’s “eastward march into the Asia-Pacific and the Taiwan issue” during the 8th China-NATO security policy dialogue held in mid-March.[35],,,,,"[ 0.06859238 -0.0240087  -0.05992178 ... -0.01093414 -0.03269101
  0.01433633]"
ChinaTaiwanUpdate040524.txt,"Northeast Asia
North Korea",,,,,"[ 0.02355053  0.00198208 -0.03432915 ...  0.00895987 -0.0170656
  0.00191822]"
ChinaTaiwanUpdate040524.txt,"The PRC abstained from voting for a United Nations Security Council resolution about extending a monitoring panel that tracks adherence to UN sanctions against North Korea. Russia vetoed the UNSC resolution on March 28.[36] The UN Security Council has unanimously adopted the annual renewal of the North Korean sanctions monitoring panel’s mandate since its inception in 2009.[37] The PRC Permanent Mission to the UN stated that the “sanctions should not be set in stone, nor should it be",,,,,"[ 0.02701693 -0.0140029  -0.06418803 ... -0.00960169 -0.0417815
  0.00086647]"
ChinaTaiwanUpdate040524.txt,"nor should it be indefinite.” It instead called for “adjust[ing] the sanctions against the DPRK in the humanitarian and livelihood field.”[38] The PRC MFA Spokesman Lin Jian claimed on March 29 that there was “still time for consultations” when the UNSC “rushed"" the resolution for a vote.[39]",,,,,"[ 0.02340921  0.01537147 -0.03008462 ... -0.0444455  -0.03448469
 -0.00918914]"
ChinaTaiwanUpdate040524.txt,Japan,,,,,"[ 0.03451566  0.00120308 -0.00488313 ...  0.00751035 -0.04156012
 -0.00280886]"
ChinaTaiwanUpdate040524.txt,"Chinese Coast Guard (CCG) vessels entered disputed waters around the Senkaku islands 101 days in a row as of April 1 in an ongoing effort to assert PRC sovereignty over the islands. The Senkaku Islands, called the Diaoyu Islands in Chinese, are an uninhabited archipelago about 120 miles northeast of Taiwan and 200 miles southwest of Japan's Okinawa Prefecture. Japan administers the islands, but the PRC and Taiwan also claim the islands.[40] The CCG has normalized daily incursions into the",,,,,"[ 0.02554969 -0.01212242 -0.04904855 ... -0.00705559 -0.0107877
 -0.00327346]"
ChinaTaiwanUpdate040524.txt,"incursions into the contiguous zone around the Senkaku Islands, which is between 12 and 24 nautical miles from the islands. The current string of consecutive daily CCG incursions into the islands’ adjacent waters began on December 22, 2023, the same day Japan’s Cabinet approved a record-high defense budget of 7.95 trillion yen ($48 billion) for 2024.[41] The PRC has repeatedly expressed opposition to Japan increasing its defense budget or taking a more active military role in the region.[42]",,,,,"[ 0.05603951  0.00154063 -0.050412   ... -0.01523808 -0.03122558
  0.00244998]"
ChinaTaiwanUpdate040524.txt,"The CCG began near-daily incursions into the Senkaku Islands’ adjacent waters in 2012 and significantly increased the volume of these incursions in 2019. It has made 90-110 incursions in most months since April 2019 into the Senkaku Islands’ contiguous zone, as well as 4-12 incursions into the territorial waters within 12 nautical miles of the islands. CCG ships entered 121 times into the archipelago’s contiguous zone and 10 times into its territorial waters in March 2024.[43] There were only",,,,,"[ 0.04849635 -0.01668078 -0.03939043 ... -0.00665142 -0.00314021
 -0.0014514 ]"
ChinaTaiwanUpdate040524.txt,"were only 10 days since April 1, 2023, without CCG incursions into the contiguous waters.",,,,,"[ 0.03180737  0.00980067 -0.02632273 ... -0.00549736 -0.02990945
 -0.01071508]"
ChinaTaiwanUpdate040524.txt,Source: Japan Coast Guard,,,,,"[ 0.01550093  0.0011228  -0.04349358 ... -0.00690071 -0.03052155
  0.0037386 ]"
ChinaTaiwanUpdate040524.txt,"The PRC is framing growing US-Japan military cooperation as a threat to the PRC. The Japanese Parliament passed its record $48 billion defense budget on March 28 for the fiscal year beginning April 1. This is the same budget the Cabinet approved in December. MFA spokesperson Lin Jian said Japan’s annually increasing defense budget, relaxation of restrictions on arms exports, and breakthrough military developments raise “strong doubts” about whether Japan is sincerely focused on defense and",,,,,"[ 0.02300425 -0.0113198  -0.03251598 ... -0.02883517 -0.03924396
  0.01774449]"
ChinaTaiwanUpdate040524.txt,"on defense and peaceful development. He urged Japan to respect the security concerns of its neighbors, “deeply reflect on its history of aggression,” and avoid “further breaking the trust of its Asian neighbors.”[44] MOD spokesperson Wu Qian framed the possibility of Japanese technical cooperation with AUKUS as a “dangerous step in a more dangerous direction.”[45] Foreign Minister Wang Yi met former Japanese Prime Minister Yasuo Fukuda and urged Japan to “do more things conducive to regional",,,,,"[ 0.05355087 -0.02838992 -0.03632033 ... -0.00662404  0.0073066
 -0.00047817]"
ChinaTaiwanUpdate040524.txt,"to regional peace and stability, rather than the opposite.”[46] PRC state-owned tabloid Global Times claimed the US-Japan alliance is evolving into an “axis of evil” that threatens regional stability and cited scholars who claimed the US recruitment of Japan to participate in trilateral US-Philippines-Japan patrols in the South China Sea was part of a US attempt to “consume allies’ resources and weaken China.”[47] US President Joe Biden will host Japan Prime Minister Fumio Kishida on April 10",,,,,"[ 0.03578578 -0.01238317 -0.02566122 ...  0.00344618 -0.0292873
  0.00670442]"
ChinaTaiwanUpdate040524.txt,Kishida on April 10 to discuss enhanced military cooperation.[48],,,,,"[ 0.02043684  0.01415478 -0.01642033 ... -0.02077521  0.00711826
  0.03080804]"
ChinaTaiwanUpdate040524.txt,"Southeast Asia
Philippines",,,,,"[ 0.00740334  0.00935846 -0.02957076 ...  0.01227539 -0.01544595
  0.00292125]"
ChinaTaiwanUpdate040524.txt,A flotilla of PLA Southern Theater Command naval warships carried out live-fire drills in an unspecified area of the South China Sea on the weekend of March 30. The drills included fire targeting an armed militia fishing boat and an enemy jet. The drills followed separate daytime and nighttime exercises in the South China Sea that the PLAN carried out on an unspecified date in early spring.[49] State-owned tabloid Global Times quoted PRC analysts who said the drills signaled that the PRC will,,,,,"[ 0.02120581  0.04084195 -0.05271939 ... -0.0084237  -0.01164957
  0.00482049]"
ChinaTaiwanUpdate040524.txt,"that the PRC will be on “high alert” regardless of US, Philippine, or Japanese activities in the region.[50]",,,,,"[ 0.02531468 -0.00103447 -0.04350197 ... -0.0162453  -0.01756602
  0.02033257]"
ChinaTaiwanUpdate040524.txt,"[1] http://www.gwytb dot gov.cn/xwdt/zwyw/202404/t20240401_12610100.htm
[2] https://www.cna dot com.tw/news/aipl/202404010172.aspx
[3] https://www.cna dot com.tw/news/aipl/202404010050.aspx
[4] https://www.bbc.com/zhongwen/simp/china/2016/06/160626_taiwan_china
[5] https://www.chinatimes dot com/realtimenews/20240401003977-260407
[6] http://www.gwytb dot gov.cn/xwdt/xwfb/xwfbh/202403/t20240313_12605907.htm
[7] https://news.ltn dot com.tw/news/politics/breakingnews/4626370",,,,,"[ 0.03962735 -0.00371982 -0.03764017 ... -0.01786355 -0.00817803
 -0.00097719]"
ChinaTaiwanUpdate040524.txt,"[8] https://udn dot com/news/story/8946/7870124
[9] https://udn dot com/news/story/8946/7872429
[10] https://udn dot com/news/story/8946/7860913
[11] https://lis.ly dot gov.tw/lylegisc/lylegiskmout?.36184C000100000100000002^0000010000004300000005000DC000041d0
[12] https://lis.ly dot gov.tw/lylegisc/lylegiskmout?.215b0086801000000100000000^02000000100040E10020500200AA042c4
[13] https://lis.ly dot gov.tw/lylegisc/lylegiskmout?.921409005000000000020^0000001000004151000200001100E353004141",,,,,"[ 0.03892596  0.01032205 -0.02512586 ... -0.01523521 -0.03258053
  0.00789461]"
ChinaTaiwanUpdate040524.txt,"[14] https://udn dot com/news/story/123475/7718848
[15] https://www.cna dot com.tw/news/aipl/202402290392.aspx
https://www.tpp dot org.tw/newsdetail/3266
[16] https://news.ltn dot com.tw/news/politics/breakingnews/4623890
[17] https://www.cna dot com.tw/news/aipl/202403290343.aspx
[18] https://www.chinatimes dot com/realtimenews/20240131001783-260407
[19] https://www.cna dot com.tw/news/aipl/202403260156.aspx
[20] https://www.cna dot com.tw./news/aipl/202403310071.aspx",,,,,"[ 0.02835593  0.01633953 -0.03609892 ... -0.01135735 -0.03726922
 -0.01096153]"
ChinaTaiwanUpdate040524.txt,"[21] https://udn dot com/news/story/123475/7809717
[22] https://www.chinatimes dot com/realtimenews/20240206002157-260407?chdtv
[23] https://www.cna dot com.tw/news/aipl/202404030237.aspx
[24] https://www.mfa dot gov.cn/web/wjdt_674879/gjldrhd_674881/202404/t20240402_11275431.shtml
[25] https://www.whitehouse.gov/briefing-room/statements-releases/2024/04/02/...
[26] https://www.state.gov/deputy-secretary-campbells-call-with-peoples-repub...",,,,,"[ 0.03552913  0.02054058 -0.04859974 ...  0.00347402 -0.03198009
  0.01715791]"
ChinaTaiwanUpdate040524.txt,"https://www.mfa dot gov.cn/web/wjb_673085/zygy_673101/MZX/xgxw_673105/202403/t20240327_11271916.shtml
[27] https://www.scmp dot com/economy/global-economy/article/3256803/chinas-foreign-investment-confidence-push-gathers-speed-top-officials-highlight-win-win
[28] https://www.fmprc dot gov.cn/eng/wjb_663304/wjbz_663308/activities_663312/202403/t20240327_11271601.html
[29] https://www.globaltimes dot cn/page/202403/1309646.shtml",,,,,"[ 0.03095662 -0.01712015 -0.04080948 ... -0.01865282 -0.0326168
  0.00755113]"
ChinaTaiwanUpdate040524.txt,"[30] http://www.xinhuanet dot com/world/20240401/21d2dfa65d08477980dec468cdc19e5a/c.html
[31] https://www.globaltimes dot cn/page/202403/1309804.shtml
[32] https://www.mfa dot gov.cn/web/wjdt_674879/gjldrhd_674881/202404/t20240401_11274393.shtml
https://www.mfa dot gov.cn/web/wjdt_674879/gjldrhd_674881/202404/t20240401_11274315.shtml
[33] https://www.mfa dot gov.cn/web/wjdt_674879/fyrbt_674889/202403/t20240328_11272629.shtml
[34] http://www.mod dot gov.cn/gfbw/xwfyr/lxjzh_246940/16297243.html",,,,,"[ 0.02543615 -0.00385106 -0.02049802 ... -0.01862612 -0.03746932
  0.02999718]"
ChinaTaiwanUpdate040524.txt,"[35] http://www.mod dot gov.cn/gfbw/xwfyr/lxjzh_246940/16297237.html
[36] https://usun.usmission.gov/explanation-of-vote-following-russias-veto-of...
[37] https://usun.usmission.gov/explanation-of-vote-following-russias-veto-of...
[38] http://un.china-mission dot gov.cn/eng/hyyfy/202403/t20240329_11272863.htm
[39] https://www.mfa dot gov.cn/web/wjdt_674879/fyrbt_674889/202403/t20240329_11273630.shtml
[40] https://www.newsweek.com/chinese-ships-enter-disputed-waters-100-consecu...",,,,,"[ 0.0416908  -0.01223607 -0.01172754 ... -0.01816556 -0.02456198
  0.0256366 ]"
ChinaTaiwanUpdate040524.txt,"https://www.newsweek.com/china-japan-coast-guard-maritime-vessels-senkak...
[41] https://www.kaiho.mlit.go.jp/mission/senkaku/senkaku.html
https://asia.nikkei.com/Economy/Japan-passes-112.57tn-yen-budget-includi...
[42] https://www.mfa dot gov.cn/web/wjdt_674879/fyrbt_674889/202403/t20240329_11273630.shtml
[43] https://www.kaiho.mlit.go.jp/mission/senkaku/senkaku.html
[44] https://www.mfa dot gov.cn/web/wjdt_674879/fyrbt_674889/202403/t20240329_11273630.shtml",,,,,"[ 0.03398143  0.00653169 -0.01147222 ... -0.02996014 -0.03035471
  0.01741441]"
ChinaTaiwanUpdate040524.txt,"[45] http://www.mod dot gov.cn/gfbw/xwfyr/lxjzh_246940/16297243.html
[46] https://www.mfa dot gov.cn/web/wjdt_674879/gjldrhd_674881/202403/t20240329_11273501.shtml
[47] https://www.globaltimes dot cn/page/202403/1309478.shtml
https://www.globaltimes dot cn/page/202403/1309841.shtml
[48] https://www.voanews.com/a/us-japan-eye-alliance-upgrades-during-biden-ki...
[49] http://www.mod dot gov.cn/gfbw/wzll/nbzq/16297766.html
https://twitter.com/CCTV_Plus/status/1774079703571370244",,,,,"[ 0.02789925 -0.01577724 -0.01403994 ... -0.00556326 -0.02803111
  0.02299   ]"
